Title,Price,Delivery,SellerName,SellerRating,ShipOnTime,Daraz Mall Status,Ratings
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 51,999",Free Delivery,Xiaomi,93%,93%,True,4.7
Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,"Rs. 106,999",Standard Delivery,Daraz Like New,92%,92%,True,5.0
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",Free Delivery,Teletel Store,,New Seller,False,4.1
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",Free Delivery,Teletel Store,,New Seller,False,4.7
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 64,999",Standard Delivery,Daraz,92%,92%,True,4.7
Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 24,999",Standard Delivery,Daraz,92%,92%,True,4.7
Samsung Galaxy A04s 4GB+128GB,"Rs. 48,999",Standard Delivery,Samsung,92%,92%,True,4.7
Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA Approved system active,"Rs. 19,499",Free Delivery,HEAVEN TECHNOLOGIES,86%,86%,True,4.7
"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",Free Delivery,Teletel Store,,New Seller,False,4.3
Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499",Free Delivery,HEAVEN TECHNOLOGIES,86%,86%,True,3.2
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,"Rs. 70,999",Standard Delivery,Daraz Like New,92%,92%,True,5.0
Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 39,999",Free Delivery,TECNO MOBILE,89%,89%,True,4.6
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,"Rs. 70,999",Standard Delivery,Daraz Like New,92%,92%,True,5.0
Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,"Rs. 106,999",Standard Delivery,Daraz Like New,92%,92%,True,5.0
