Title,Price,Delivery,SellerName,SellerRating,ShipOnTime,Daraz Mall Status,Ratings
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,51999.0,Free Delivery,Xiaomi,93.0,93.0,True,4.7
Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,106999.0,Standard Delivery,Daraz Like New,92.0,92.0,True,5.0
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,32999.0,Free Delivery,Teletel Store,,,False,4.1
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,64499.0,Free Delivery,Teletel Store,,,False,4.7
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,64999.0,Standard Delivery,Daraz,92.0,92.0,True,4.7
Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,24999.0,Standard Delivery,Daraz,92.0,92.0,True,4.7
Samsung Galaxy A04s 4GB+128GB,48999.0,Standard Delivery,Samsung,92.0,92.0,True,4.7
Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA Approved system active,19499.0,Free Delivery,HEAVEN TECHNOLOGIES,86.0,86.0,True,4.7
"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery",43499.0,Free Delivery,Teletel Store,,,False,4.3
Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,50499.0,Free Delivery,HEAVEN TECHNOLOGIES,86.0,86.0,True,3.2
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,70999.0,Standard Delivery,Daraz Like New,92.0,92.0,True,5.0
Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,39999.0,Free Delivery,TECNO MOBILE,89.0,89.0,True,4.6
Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,70999.0,Standard Delivery,Daraz Like New,92.0,92.0,True,5.0
Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,106999.0,Standard Delivery,Daraz Like New,92.0,92.0,True,5.0
Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,33999.0,Standard Delivery,Daraz,92.0,92.0,True,4.7
Samsung Galaxy A24 8GB+128GB,79999.0,Standard Delivery,Samsung,92.0,92.0,True,4.6
