Title,Name,Review text
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,eer H.,"This is really amazing, such a beautiful colour, very well packed, received on the very next day of order placement, great experience,"
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,****413,nice set and same colour as orderd. premium touch feel. all good and packing was very secure. nice
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,el A.,"I got this mobile on time and it is a good mobile, the specification is also very good and I am very satisfied with the seller."
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,d R.,"I ordered phone from Daraz, received as shown. genuine product, only issue is with daraz delivery service. I received order after almost 10 days. launch a complaint, but no one at daraz had any details, they told me I'll be contacted by internal team but no response. Good seller and product, poor delivery quality."
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ammad J.,"#11.11 ""I recently purchased a mobile from Daraz and had an excellent experience. The packaging was top-notch, delivery was on time, and the product arrived in perfect 10/10 condition. Highly satisfied!"" #11.11"
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,aqat,Thanks Daraz thanks seller bhut acha h orignal PTA sy approval h sirf warenty k bta din kaisy chek ho gi
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ammad Z.,Original Product hai. seal nhi lagi howe hoti. warranty Card B ni hota online warranty hai Packiging was Good Received Best Quality. Excellent services ❤ 👍 #11.11
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,eer H.,"This is really amazing, such a beautiful colour, very well packed, received on the very next day of order placement, great experience,"
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,em A.,Orignal product Non Active fast delivery 2days Market price sy price zaida ha but orignal non active chez ka alg maza ha market wala sasta sale to krty ha but repack hota ha bht khush hun mobile dek k
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,****413,nice set and same colour as orderd. premium touch feel. all good and packing was very secure. nice
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,el A.,"I got this mobile on time and it is a good mobile, the specification is also very good and I am very satisfied with the seller."
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,an R.,First of all thanks for the faster delivery than I thought.. delivered the same product which I have ordered further packing is also good.
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ni,Received my phone today and i am very satisfied The product is very good and it also have warranty card ❤️
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,aqat H.,Very nice phone on good price. processing was little slow but reached me safely in good packing. thanks to Daraz and seller 👍
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,an M.,"After 3 months of usage, I am glad to share that, I received a genuine product and received the product in time. Highly recommended buyer, if you're looking forward to buying this device."
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ni,Received my phone today and i am very satisfied The product is very good and it also have warranty card ❤️
