Title,Name,Review text,Review_Score
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,eer H.,"This is really amazing, such a beautiful colour, very well packed, received on the very next day of order placement, great experience,",5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,****413,nice set and same colour as orderd. premium touch feel. all good and packing was very secure. nice,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,el A.,"I got this mobile on time and it is a good mobile, the specification is also very good and I am very satisfied with the seller.",5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,d R.,"I ordered phone from Daraz, received as shown. genuine product, only issue is with daraz delivery service. I received order after almost 10 days. launch a complaint, but no one at daraz had any details, they told me I'll be contacted by internal team but no response. Good seller and product, poor delivery quality.",1
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ammad J.,"#11.11 ""I recently purchased a mobile from Daraz and had an excellent experience. The packaging was top-notch, delivery was on time, and the product arrived in perfect 10/10 condition. Highly satisfied!"" #11.11",5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,aqat,Thanks Daraz thanks seller bhut acha h orignal PTA sy approval h sirf warenty k bta din kaisy chek ho gi,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ammad Z.,Original Product hai. seal nhi lagi howe hoti. warranty Card B ni hota online warranty hai Packiging was Good Received Best Quality. Excellent services ❤ 👍 #11.11,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,em A.,Orignal product Non Active fast delivery 2days Market price sy price zaida ha but orignal non active chez ka alg maza ha market wala sasta sale to krty ha but repack hota ha bht khush hun mobile dek k,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,an R.,First of all thanks for the faster delivery than I thought.. delivered the same product which I have ordered further packing is also good.,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,ni,Received my phone today and i am very satisfied The product is very good and it also have warranty card ❤️,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,aqat H.,Very nice phone on good price. processing was little slow but reached me safely in good packing. thanks to Daraz and seller 👍,5
Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,an M.,"After 3 months of usage, I am glad to share that, I received a genuine product and received the product in time. Highly recommended buyer, if you're looking forward to buying this device.",5
Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,an M.,Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,ib R.,#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,fMisbah,everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,aid K.,#11.11 sale main good mobile mil gaya hy market sy bhi sasta same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,shan K.,"phone was brand new, box packed, came in secure packaging,can't see the PTA sticker,, but seller said it is approved,, so i believe seller words😊.",5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,iq A.,Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,ha J.,Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,ran A.,Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,*.,Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,ky,nice 👍 good mobile but delivery is to slow over All is very good,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,han,no charger no warranty card/ no any back cover only one mobile..,1
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,*5,PTA approved hai online warranty new set okay scene hai,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,****593,best mobile phone very good,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,sal T.,i can't believe the price is low and the package is original excellent seller ☺️,5
Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,ish K.,"mobile delivered in a good condition, realme is not providing charger with their sets. was worried about a comment mentioned in the review section, no such issues with my set. all good",5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,ke E.,"I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰",5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,ar A.,Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,r B.,Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,ma S.,"Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi",5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty, A.,Nice Mobile at this price with special specs. Delivered late but overall services by daraz are good.. Thanks,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,esham,I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,****905,buht acha phone ha original phone one year official warranty ha ❤❤,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,lan Z.,"#11.11 No doubt the phone is worth buying , color is awesome and the specs are too good. I hope it will continuously perform as it is doing now, I was afraid before buying as there was no any review about this phone on this seller, But Thanks for sending me original device.",5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,end I.,real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,hif K.,bahot acha mobile hy thanks daraz and seller,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty, U.,Pin packed and original product Recommended seller,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,*0,good packing. arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai. subah tak daikhta ho nai tu return kar du ga,1
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,K.,nice product I ma really happy to buy from daraz and thank you seller pin packed product 😍😍😍😍i am really confused to buy this but amazing product ☺ you should also believe the saller and daraz,5
Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,oon A.,Recommended seller... awesome product,5
